Label,Assumption (short),Validated?,If violated VaR is...,Magnitude,Mitigation
D.2,Equal weights w=1/4 across linear assets,NOT validated -- portfolio specification choice,Suboptimal VaR for alternative weighting schemes,Unknown; risk contribution is unbalanced (SPY dominates tail),Hardcoded in config.py; consistent across all modules
D.3,V0=1000000 USD is the relevant scale,Implementation assumption -- not validated,VaR numbers in wrong currency scale if V0 is wrong,Linear scaling: wrong V0 scales VaR proportionally,Consistent across all modules; specified in config.py
D.4,pnl_total covers all material P&L sources,Partially validated -- IRS and straddle included; no other instruments in portfolio,Underestimated if additional positions exist outside instrument_pnl.csv,Unknown -- depends on unreported positions,Portfolio fully specified in config.py; no external positions
D.6,Trading days aligned across all assets,Validated by date-intersection logic in compute_pnl.py,Misaligned dates would produce stale P&L,Rare but could cause large errors on specific dates (e.g. US vs EU holidays),"common = spy.index.intersection(vix.index).intersection(dgs10.index) in compute_pnl.py:29"
D.7,Pricing assumptions in docs/pricing/*.md,Cross-referenced -- see individual pricing documents,Varies by instrument; IRS DV01 approximation and BS straddle pricing are the key risks,IRS: 5-10% error for large parallel shifts; Straddle: model error on smile/skew,"See docs/pricing/05_IRS.md; docs/pricing/06_straddle.md"
B.2,GARCH innovations are Student-t,Diagnostic (QQ-plot vs Student-t in diagnostics figure),Underestimated if true innovations are heavier than Student-t,"<5% between Student-t and other heavy-tail distributions at 99%","Student-t dist='t' specified in arch_model; nu jointly estimated; EVT step further addresses residual tails"
B.6,GARCH-fitted mu more accurate than sample mean,Supported by theory -- not empirically compared,Very small bias from using sample mean instead,"<0.1% at 99% VaR level; mu typically near zero for financial returns",mu extracted from res.params['mu']/100 per commit B2
B.7,sigma_hat_t is the correct conditioning variable,Validated structurally (one-step-ahead forecast from arch library),Wrong conditioning if GARCH spec is incorrect,See B.1 for GARCH mis-specification consequences,One-step-ahead forecast via res.forecast(horizon=1) in garch_evt.py:225-226
E.3,T=4269 days gives sufficient backtest power,Validated by power calculation: T*p=42.7 expected exceptions at 99% VaR,Under-powered tests fail to detect moderate mis-coverage,"Power to detect 50% over-coverage ~80% at T=4269; EVT exception rate 1.31% vs 1.00% borderline rejected",Standard regulatory window; 18-year sample provides good coverage
E.4,Backtesting against pnl_total is correct supervisory choice,Validated -- pnl_total includes all risk sources that VaR is meant to cover,Understated exceptions if pnl_total excludes material risks; overstated if it includes non-risk items,Directional: excluding instruments understates exceptions,All three VaR models backtested against same pnl_total series
A.5,KS p-value informative despite anti-conservative bias,NOT validated -- known limitation documented in code,KS p-values biased upward (too easy to pass) when parameters estimated from same data,"True p-value may be 20--40% lower than reported; use as relative quality indicator only",Comment in evt.py:267-269; used as relative indicator only
A.6,Empirical quantile acceptable fallback,Implementation choice -- not validated,Fallback produces non-GPD VaR; loses tail extrapolation,Cannot estimate VaR beyond observed maximum if N_u < 10; fallback days=0/4269 (never triggered),"Fallback triggered zero times in production; xi=NaN flagged in output"
F.1,scipy genpareto.fit MLE converges,Diagnostic (zero GPD fit failures in production runs),Could produce incorrect xi and sigma if MLE diverges,Fallback to empirical quantile mitigates; 0 poor fits (KS p<0.05) recorded,"warnings.warn() audit trail in evt.py:275-279; no failures in 4269-day run"
F.2,arch library scaling x100 / /10000 preserves accuracy,Validated by checking cond_vol mean and std against r_p statistics,"Numerical instability if scaling incorrect; z mean=%.4f std=%.4f confirms correct scaling (expected ~0 and ~1)","Negligible -- arch library convention is standard; verified by z_mean=-0.0176 z_std=0.9936","r_p * 100 passed to arch_model; cond_vol_decimal = res.conditional_volatility / 100 in garch_evt.py:231"
F.3,Random seed=42 produces reproducible MC,Validated by construction (numpy default_rng(42)),Different seeds produce different but statistically equivalent results; not a bias concern,"MC SE on VaR is ~0.15 pp at N=20000; seed-to-seed variation within this bound","RANDOM_SEED=42 in var_copula.py:96; rng=numpy.random.default_rng(42)"
